Congress,ICPSR ID,State Code,District,State,Party,Name,1st Dimension,2nd Dimension,1st Dimension S.E.,2nd Dimension S.E.,Correlation,Log-likelihood,Votes,Classification Errors,Geometric Mean Probability
108,15014,22,5,INDIANA,200,BURTON,0.682,0.102,0.064,0.203,0.039,-135.79471,775,58,0.839
108,20340,47,1,NORTH C,100,BUTTERFIELD,-0.389,0.184,0.063,0.117,-0.454,-19.56985,92,9,0.808
108,29350,22,4,INDIANA,200,BUYER,0.56,0.155,0.055,0.137,-0.065,-94.11278,784,41,0.887
108,1366,56,0,WEST VI,100,BYRD,-0.367,0.929,0.114,0.077,-0.273,-132.88028,504,69,0.768
108,29323,71,44,CALIFOR,200,CALVERT,0.494,0.004,0.08,0.042,-0.015,-70.86081,829,23,0.918
108,29124,23,4,MICHIGA,200,CAMP,0.524,-0.105,0.079,0.044,0.19,-90.11124,825,31,0.897
108,95407,62,0,COLORAD,200,CAMPBELL,0.281,0.375,0.018,0.271,0.282,-85.12673,470,43,0.834
108,29766,67,3,UTAH,200,CANNON,0.737,-0.049,0.104,0.058,0.016,-91.0949,763,34,0.887
108,20144,40,7,VIRGINI,200,CANTOR,0.676,-0.067,0.114,0.079,0.104,-90.29333,838,43,0.898
108,39310,73,0,WASHING,100,CANTWELL,-0.386,-0.233,0.023,0.263,0.194,-83.94795,517,35,0.85
108,20146,56,2,WEST VI,200,CAPITO,0.368,-0.183,0.082,0.049,-0.063,-107.33739,838,52,0.88
108,29774,71,23,CALIFOR,100,CAPPS,-0.408,-0.318,0.075,0.068,-0.381,-100.39371,827,46,0.886
108,29919,3,8,MASSACH,100,CAPUANO,-0.596,0.188,0.011,0.194,-0.095,-162.41142,823,58,0.821
108,15408,52,3,MARYLAN,100,CARDIN,-0.314,-0.295,0.051,0.13,-0.282,-106.9572,821,43,0.878
108,20306,71,18,CALIFOR,100,CARDOZA,-0.251,0.486,0.049,0.064,-0.383,-185.8643,826,83,0.799
108,15015,11,0,DELAWAR,100,CARPER,-0.249,-0.106,0.03,0.134,0.487,-158.20544,512,73,0.734
108,29720,22,7,INDIANA,100,CARSON,-0.479,-0.191,0.043,0.063,-0.422,-100.46176,693,42,0.865
108,20132,53,2,OKLAHOM,100,CARSON,-0.179,0.588,0.038,0.045,-0.159,-213.57031,776,92,0.759
